TAB:  US_South_Dakota_Minnehaha Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_South_Dakota_Minnehaha Deaths    .            22        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    2/14/2020    23        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            24        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    2/16/2020    25        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            26        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    2/18/2020    27        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            28        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    2/20/2020    29        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            30        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    2/22/2020    31        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            32        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    2/24/2020    33        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            34        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    2/26/2020    35        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            36        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    2/28/2020    37        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            38        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    3/1/2020     39        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            40        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    3/3/2020     41        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            42        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    3/5/2020     43        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            44        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    3/7/2020     45        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            46        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    3/9/2020     47        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            48        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    3/11/2020    49        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            50        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    3/13/2020    51        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            52        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    3/15/2020    53        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            54        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    3/17/2020    55        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            56        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    3/19/2020    57        0       51        0        0       63    15216    15216
TAB:  US_South_Dakota_Minnehaha Deaths    .            58        0       51        0        0       61       61       61
TAB:  US_South_Dakota_Minnehaha Deaths    3/21/2020    59        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            60        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    3/23/2020    61        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            62        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    3/25/2020    63        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            64        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    3/27/2020    65        0       51        0        0       63       63       63
TAB:  US_South_Dakota_Minnehaha Deaths    .            66        0       51        0        0       63       63       63
TAB:  US_South_Dakota_Minnehaha Deaths    3/29/2020    67        0       51        0        0       63      189      189
TAB:  US_South_Dakota_Minnehaha Deaths    .            68        0       51        0        0       63      315      189
TAB:  US_South_Dakota_Minnehaha Deaths    3/31/2020    69        0       51        0        0       63      189      189
TAB:  US_South_Dakota_Minnehaha Deaths    .            70        0       51        0        0       63      694      315
TAB:  US_South_Dakota_Minnehaha Deaths    4/2/2020     71        0       51        0        0      189    10922      694
TAB:  US_South_Dakota_Minnehaha Deaths    .            72        0       51        0        0      441     4609     1325
TAB:  US_South_Dakota_Minnehaha Deaths    4/4/2020     73        0       51        0        0      820    18373     3472
TAB:  US_South_Dakota_Minnehaha Deaths    .            74        0       51        0        0     1578    18373     2588
TAB:  US_South_Dakota_Minnehaha Deaths    4/6/2020     75        1       51        0        0    20645    20645    20645
TAB:  US_South_Dakota_Minnehaha Deaths    .            76        2       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    4/8/2020     77        2       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            78        2       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    4/10/2020    79        2       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            80        2       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    4/12/2020    81        2       51        0        0     4230     4230     4230
TAB:  US_South_Dakota_Minnehaha Deaths    .            82        2       51        0        0    12438    12438    12438
TAB:  US_South_Dakota_Minnehaha Deaths    4/14/2020    83        2       51        0        0     6503     9786     9786
TAB:  US_South_Dakota_Minnehaha Deaths    .            84        2       51        0        0    17489    18373    18373
TAB:  US_South_Dakota_Minnehaha Deaths    4/16/2020    85        3       51        0        0     8776    24307    12185
TAB:  US_South_Dakota_Minnehaha Deaths    .            86        3       51        0        0     1830    15721     5998
TAB:  US_South_Dakota_Minnehaha Deaths    4/18/2020    87        3       51        0        0     1830    23550     4230
TAB:  US_South_Dakota_Minnehaha Deaths    .            88        3       51    -            2        2      339      233
TAB:  US_South_Dakota_Minnehaha Deaths    4/20/2020    89        3       51    -            2        2      369      249
TAB:  US_South_Dakota_Minnehaha Deaths    .            90        4       51        8        1        8       17       17
TAB:  US_South_Dakota_Minnehaha Deaths    4/22/2020    91        5       51      130        1      130      130      130
TAB:  US_South_Dakota_Minnehaha Deaths    .            92        5       51      143        1      143      279      279
TAB:  US_South_Dakota_Minnehaha Deaths    4/24/2020    93        5       51        6        1        6      230       23
TAB:  US_South_Dakota_Minnehaha Deaths    .            94        5       51        4        1        4      136       12
TAB:  US_South_Dakota_Minnehaha Deaths    4/26/2020    95        6       51        8        2        6      200       21
TAB:  US_South_Dakota_Minnehaha Deaths    .            96        6       51        6        3        6      153       14
TAB:  US_South_Dakota_Minnehaha Deaths    4/28/2020    97        6       51        6        5        6      155       14
TAB:  US_South_Dakota_Minnehaha Deaths    .            98        8       51      108        1      108      358      358
TAB:  US_South_Dakota_Minnehaha Deaths    4/30/2020    99        8       51       29        1       29      286       79
TAB:  US_South_Dakota_Minnehaha Deaths    .           100       16       51        0        0     2336    19635     3725
TAB:  US_South_Dakota_Minnehaha Deaths    5/2/2020    101       16       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .           102       16       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    5/4/2020    103       16       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .           104       19       51       19        1       19       23       21
TAB:  US_South_Dakota_Minnehaha Deaths    5/6/2020    105       19       51       19        3       19       25       21
TAB:  US_South_Dakota_Minnehaha Deaths    .           106       26       51      108        1      108      108      108
TAB:  US_South_Dakota_Minnehaha Deaths    5/8/2020    107       26       51       40        1       40      125       55
TAB:  US_South_Dakota_Minnehaha Deaths    .           108       29       51       47        2       44      235       55
TAB:  US_South_Dakota_Minnehaha Deaths    5/10/2020   109       29       51       44        2       29      262       49
TAB:  US_South_Dakota_Minnehaha Deaths    .           110       29       51       29        3       29      249       42
TAB:  US_South_Dakota_Minnehaha Deaths    5/12/2020   111       29       51       29        4       29      284       42
TAB:  US_South_Dakota_Minnehaha Deaths    .           112       29       51       29        4       29      194       42
TAB:  US_South_Dakota_Minnehaha Deaths    5/14/2020   113       38       51       68        1       68      203      102
TAB:  US_South_Dakota_Minnehaha Deaths    .           114       39       51       70        2       62      292      109
TAB:  US_South_Dakota_Minnehaha Deaths    5/16/2020   115       39       51       38        3       38      299       91
TAB:  US_South_Dakota_Minnehaha Deaths    .           116       39       51       38        4       38      284       74
TAB:  US_South_Dakota_Minnehaha Deaths    5/18/2020   117       39       51       38        4       38      279       72
TAB:  US_South_Dakota_Minnehaha Deaths    .           118       40       51       40        5       40      230       70
TAB:  US_South_Dakota_Minnehaha Deaths    5/20/2020   119       40       51       40        8       40      343       61
TAB:  US_South_Dakota_Minnehaha Deaths    .           120       41       51       42        4       40      316       61
TAB:  US_South_Dakota_Minnehaha Deaths    5/22/2020   121       43       51       49        6       46      296       64
TAB:  US_South_Dakota_Minnehaha Deaths    .           122       43       51       47        6       44      279       62
TAB:  US_South_Dakota_Minnehaha Deaths    5/24/2020   123       43       51       47        7       44      262       61
TAB:  US_South_Dakota_Minnehaha Deaths    .           124       43       51       44       10       44      247       61
TAB:  US_South_Dakota_Minnehaha Deaths    5/26/2020   125       43       51       44        9       42      339       64
TAB:  US_South_Dakota_Minnehaha Deaths    .           126       45       51       47       11       47      196       68
TAB:  US_South_Dakota_Minnehaha Deaths    5/28/2020   127       45       51       47       20       47      134       62
TAB:  US_South_Dakota_Minnehaha Deaths    .           128       49       51       54        1       54       91       61
TAB:  US_South_Dakota_Minnehaha Deaths    5/30/2020   129       49       51       55        3       55       91       64
TAB:  US_South_Dakota_Minnehaha Deaths    .           130       49       51       55        4       55       81       66
TAB:  US_South_Dakota_Minnehaha Deaths    6/1/2020    131       49       51       55        5       55      123       66
TAB:  US_South_Dakota_Minnehaha Deaths    .           132       49       51       55        9       55       70       64
TAB:  US_South_Dakota_Minnehaha Deaths    6/3/2020    133       49       51       55       15       53       68       59
TAB:  US_South_Dakota_Minnehaha Deaths    .           134       50       51       55       16       49       64       57
TAB:  US_South_Dakota_Minnehaha Deaths    6/5/2020    135       50       51       53       17       49      181       59
TAB:  US_South_Dakota_Minnehaha Deaths    .           136       50       51       53       23       49      104       57
TAB:  US_South_Dakota_Minnehaha Deaths    6/7/2020    137       50       51       53       28       49      361       59
TAB:  US_South_Dakota_Minnehaha Deaths    .           138       50       51       53       28       49      361       59
TAB:  US_South_Dakota_Minnehaha Deaths    6/9/2020    139       51       51       53       31       51       70       55
