TAB:  Italy_Campania Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Italy_Campania Deaths    4/6/2020     75      204      426      273        3      267      351      311
TAB:  Italy_Campania Deaths    .            76      216      426      281        2      281      384      325
TAB:  Italy_Campania Deaths    4/8/2020     77      221      426      291        6      275      354      322
TAB:  Italy_Campania Deaths    .            78      227      426      324        3      244      330      300
TAB:  Italy_Campania Deaths    4/10/2020    79      231      426      284        3      238      315      284
TAB:  Italy_Campania Deaths    .            80      238      426      282        3      260      312      287
TAB:  Italy_Campania Deaths    4/12/2020    81      242      426      282        3      263      309      288
TAB:  Italy_Campania Deaths    .            82      248      426      286        7      272      632      290
TAB:  Italy_Campania Deaths    4/14/2020    83      260      426      306       15      291      354      338
TAB:  Italy_Campania Deaths    .            84      278      426      322        5      322      363      342
TAB:  Italy_Campania Deaths    4/16/2020    85      286      426      338        7      338      401      385
TAB:  Italy_Campania Deaths    .            86      293      426      354        6      338      416      369
TAB:  Italy_Campania Deaths    4/18/2020    87      300      426      354        7      322      479      401
TAB:  Italy_Campania Deaths    .            88      304      426      354        6      322     1990      401
TAB:  Italy_Campania Deaths    4/20/2020    89      309      426      369        8      322     1062      401
TAB:  Italy_Campania Deaths    .            90      317      426      369       11      338      810      416
TAB:  Italy_Campania Deaths    4/22/2020    91      327      426      369       11      369     1518      448
TAB:  Italy_Campania Deaths    .            92      332      426      385       11      385      731      464
TAB:  Italy_Campania Deaths    4/24/2020    93      336      426      385       11      369      857      464
TAB:  Italy_Campania Deaths    .            94      341      426      389        6      354      575      434
TAB:  Italy_Campania Deaths    4/26/2020    95      345      426      388        8      362      497      419
TAB:  Italy_Campania Deaths    .            96      352      426      401       11      385      511      448
TAB:  Italy_Campania Deaths    4/28/2020    97      358      426      401       12      401      495      448
TAB:  Italy_Campania Deaths    .            98      359      426      401       14      401      479      448
TAB:  Italy_Campania Deaths    4/30/2020    99      359      426      399       10      358      452      413
TAB:  Italy_Campania Deaths    .           100      359      426      397        8      359      433      408
TAB:  Italy_Campania Deaths    5/2/2020    101      362      426      396        9      366      424      400
TAB:  Italy_Campania Deaths    .           102      364      426      397       11      365      413      388
TAB:  Italy_Campania Deaths    5/4/2020    103      366      426      401       16      369      416      401
TAB:  Italy_Campania Deaths    .           104      369      426      401       19      369      416      401
TAB:  Italy_Campania Deaths    5/6/2020    105      376      426      401       29      385      401      401
TAB:  Italy_Campania Deaths    .           106      379      426      401       24      401      527      416
TAB:  Italy_Campania Deaths    5/8/2020    107      386      426      416       19      401      416      416
TAB:  Italy_Campania Deaths    .           108      388      426      416       18      401     1722      511
TAB:  Italy_Campania Deaths    5/10/2020   109      391      426      416       16      401      810      432
TAB:  Italy_Campania Deaths    .           110      392      426      432       17      401     1439      574
TAB:  Italy_Campania Deaths    5/12/2020   111      393      426      432       18      401      810      495
TAB:  Italy_Campania Deaths    .           112      394      426      432       20      401     1235      464
TAB:  Italy_Campania Deaths    5/14/2020   113      394      426      416       21      401     1565      479
TAB:  Italy_Campania Deaths    .           114      396      426      416       26      401      542      464
TAB:  Italy_Campania Deaths    5/16/2020   115      396      426      416       31      401      448      432
TAB:  Italy_Campania Deaths    .           116      396      426      416       37      401      464      432
TAB:  Italy_Campania Deaths    5/18/2020   117      399      426      416       41      401      432      416
TAB:  Italy_Campania Deaths    .           118      399      426      416       41      401      416      416
TAB:  Italy_Campania Deaths    5/20/2020   119      401      426      416       43      401      448      416
TAB:  Italy_Campania Deaths    .           120      403      426      416       45      401      464      416
TAB:  Italy_Campania Deaths    5/22/2020   121      404      426      416       48      401      951      511
TAB:  Italy_Campania Deaths    .           122      404      426      416       48      401     2934      479
TAB:  Italy_Campania Deaths    5/24/2020   123      405      426      416       51      401      479      464
TAB:  Italy_Campania Deaths    .           124      405      426      416       50      401      542      448
TAB:  Italy_Campania Deaths    5/26/2020   125      405      426      416       50      401      464      432
TAB:  Italy_Campania Deaths    .           126      406      426      416       51      401      495      432
TAB:  Italy_Campania Deaths    5/28/2020   127      410      426      416       42      416      731      479
TAB:  Italy_Campania Deaths    .           128      411      426      416       42      416      542      542
TAB:  Italy_Campania Deaths    5/30/2020   129      411      426      416       45      416      542      432
TAB:  Italy_Campania Deaths    .           130      412      426      416       48      416      542      432
TAB:  Italy_Campania Deaths    6/1/2020    131      413      426      416       43      416     1801      527
TAB:  Italy_Campania Deaths    .           132      415      426      416       34      416      747      605
TAB:  Italy_Campania Deaths    6/3/2020    133      415      426      416       33      416     1172      558
TAB:  Italy_Campania Deaths    .           134      420      426      432       21      432      495      495
TAB:  Italy_Campania Deaths    6/5/2020    135      425      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .           136      426      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    6/7/2020    137      426      426      432        1      432      432      432
TAB:  Italy_Campania Deaths    .           138      426      426      432        2      432      432      432
TAB:  Italy_Campania Deaths    6/9/2020    139      426      426      432        2      432      432      432
