TAB:  US_Pennsylvania_Delaware Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Pennsylvania_Delaware Deaths    .           108      394      602    -            3      411     4370     2435
TAB:  US_Pennsylvania_Delaware Deaths    5/10/2020   109      395      602      389        2      389     4147     2324
TAB:  US_Pennsylvania_Delaware Deaths    .           110      399      602      411        5      411     3903     2279
TAB:  US_Pennsylvania_Delaware Deaths    5/12/2020   111      405      602      411        4      411     3947     1990
TAB:  US_Pennsylvania_Delaware Deaths    .           112      419      602      442        2      442     2862     1729
TAB:  US_Pennsylvania_Delaware Deaths    5/14/2020   113      448      602     1669        3      546     1877     1586
TAB:  US_Pennsylvania_Delaware Deaths    .           114      466      602     1612        5      589     1656     1390
TAB:  US_Pennsylvania_Delaware Deaths    5/16/2020   115      478      602      611        4      589     1567     1256
TAB:  US_Pennsylvania_Delaware Deaths    .           116      478      602     1345        4      500     1478     1100
TAB:  US_Pennsylvania_Delaware Deaths    5/18/2020   117      436      602      447        9      440     1328     1000
TAB:  US_Pennsylvania_Delaware Deaths    .           118      451      602     1138        2      639     1238     1119
TAB:  US_Pennsylvania_Delaware Deaths    5/20/2020   119      472      602     1061        3      608     1143      990
TAB:  US_Pennsylvania_Delaware Deaths    .           120      481      602      994        2      589     1076      983
TAB:  US_Pennsylvania_Delaware Deaths    5/22/2020   121      501      602      932        2      570     1009      859
TAB:  US_Pennsylvania_Delaware Deaths    .           122      513      602      572        1      572      964      734
TAB:  US_Pennsylvania_Delaware Deaths    5/24/2020   123      514      602      578        2      521      918      639
TAB:  US_Pennsylvania_Delaware Deaths    .           124      514      602      518        4      518      877      626
TAB:  US_Pennsylvania_Delaware Deaths    5/26/2020   125      514      602      518        5      518      839      621
TAB:  US_Pennsylvania_Delaware Deaths    .           126      532      602      576        5      555      813      645
TAB:  US_Pennsylvania_Delaware Deaths    5/28/2020   127      544      602      611       11      589      789      700
TAB:  US_Pennsylvania_Delaware Deaths    .           128      550      602      611       15      589      789      700
TAB:  US_Pennsylvania_Delaware Deaths    5/30/2020   129      558      602      611       11      589      767      678
TAB:  US_Pennsylvania_Delaware Deaths    .           130      558      602      611       13      567      745      656
TAB:  US_Pennsylvania_Delaware Deaths    6/1/2020    131      559      602      615        7      562      736      652
TAB:  US_Pennsylvania_Delaware Deaths    .           132      567      602      613        8      577      714      653
TAB:  US_Pennsylvania_Delaware Deaths    6/3/2020    133      576      602      633       18      611      722      678
TAB:  US_Pennsylvania_Delaware Deaths    .           134      584      602      656       16      633     1011      700
TAB:  US_Pennsylvania_Delaware Deaths    6/5/2020    135      591      602      656       19      633      878      722
TAB:  US_Pennsylvania_Delaware Deaths    .           136      596      602      656       24      633     1923      745
TAB:  US_Pennsylvania_Delaware Deaths    6/7/2020    137      597      602      656       26      611     1345      722
TAB:  US_Pennsylvania_Delaware Deaths    .           138      597      602      656       30      611     1034      700
TAB:  US_Pennsylvania_Delaware Deaths    6/9/2020    139      602      602      659       12      608      721      670
