TAB:  US_Wisconsin_Milwaukee Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Wisconsin_Milwaukee Deaths    .            82       94      331      152        3      103      739      165
TAB:  US_Wisconsin_Milwaukee Deaths    4/14/2020    83      101      331      128        3      128      898      189
TAB:  US_Wisconsin_Milwaukee Deaths    .            84      105      331      128        4      128     1399      201
TAB:  US_Wisconsin_Milwaukee Deaths    4/16/2020    85      114      331      152        7      152     2047      470
TAB:  US_Wisconsin_Milwaukee Deaths    .            86      120      331      165        8      152     1717      336
TAB:  US_Wisconsin_Milwaukee Deaths    4/18/2020    87      122      331      159        4      152      680      224
TAB:  US_Wisconsin_Milwaukee Deaths    .            88      125      331      151        3      129      474      183
TAB:  US_Wisconsin_Milwaukee Deaths    4/20/2020    89      132      331      160        3      156      365      189
TAB:  US_Wisconsin_Milwaukee Deaths    .            90      139      331      169        3      169      311      193
TAB:  US_Wisconsin_Milwaukee Deaths    4/22/2020    91      142      331      177       10      165      287      226
TAB:  US_Wisconsin_Milwaukee Deaths    .            92      150      331      189        6      177      360      238
TAB:  US_Wisconsin_Milwaukee Deaths    4/24/2020    93      154      331      189        8      189      409      250
TAB:  US_Wisconsin_Milwaukee Deaths    .            94      157      331      189        7      177      678      238
TAB:  US_Wisconsin_Milwaukee Deaths    4/26/2020    95      162      331      192        5      192      290      214
TAB:  US_Wisconsin_Milwaukee Deaths    .            96      167      331      199        3      196      281      220
TAB:  US_Wisconsin_Milwaukee Deaths    4/28/2020    97      174      331      213        9      201     1216      287
TAB:  US_Wisconsin_Milwaukee Deaths    .            98      177      331      213       10      213      470      287
TAB:  US_Wisconsin_Milwaukee Deaths    4/30/2020    99      181      331      213       10      213      372      287
TAB:  US_Wisconsin_Milwaukee Deaths    .           100      186      331      224        7      217      345      281
TAB:  US_Wisconsin_Milwaukee Deaths    5/2/2020    101      191      331      226        5      222      363      288
TAB:  US_Wisconsin_Milwaukee Deaths    .           102      195      331      238       11      226      495      299
TAB:  US_Wisconsin_Milwaukee Deaths    5/4/2020    103      195      331      227        5      211      293      252
TAB:  US_Wisconsin_Milwaukee Deaths    .           104      201      331      244        6      229      289      256
TAB:  US_Wisconsin_Milwaukee Deaths    5/6/2020    105      204      331      246        5      233      289      256
TAB:  US_Wisconsin_Milwaukee Deaths    .           106      212      331      250       11      238      495      299
TAB:  US_Wisconsin_Milwaukee Deaths    5/8/2020    107      219      331      250       12      250     1289      348
TAB:  US_Wisconsin_Milwaukee Deaths    .           108      224      331      262       15      262     1216      372
TAB:  US_Wisconsin_Milwaukee Deaths    5/10/2020   109      225      331      262       14      238     2047      372
TAB:  US_Wisconsin_Milwaukee Deaths    .           110      231      331      262       11      262     1558      385
TAB:  US_Wisconsin_Milwaukee Deaths    5/12/2020   111      235      331      275       15      262     1081      372
TAB:  US_Wisconsin_Milwaukee Deaths    .           112      236      331      275       15      250     1167      385
TAB:  US_Wisconsin_Milwaukee Deaths    5/14/2020   113      242      331      275       15      262      959      385
TAB:  US_Wisconsin_Milwaukee Deaths    .           114      249      331      287       14      287     1253      446
TAB:  US_Wisconsin_Milwaukee Deaths    5/16/2020   115      252      331      287       13      287     1277      421
TAB:  US_Wisconsin_Milwaukee Deaths    .           116      252      331      287       13      262      556      409
TAB:  US_Wisconsin_Milwaukee Deaths    5/18/2020   117      256      331      294       12      262      459      362
TAB:  US_Wisconsin_Milwaukee Deaths    .           118      260      331      295       13      273      425      340
TAB:  US_Wisconsin_Milwaukee Deaths    5/20/2020   119      265      331      299       13      299      446      372
TAB:  US_Wisconsin_Milwaukee Deaths    .           120      269      331      299       12      299      507      385
TAB:  US_Wisconsin_Milwaukee Deaths    5/22/2020   121      270      331      299       11      287      421      360
TAB:  US_Wisconsin_Milwaukee Deaths    .           122      276      331      311       13      311     1656      385
TAB:  US_Wisconsin_Milwaukee Deaths    5/24/2020   123      276      331      311       13      311      421      372
TAB:  US_Wisconsin_Milwaukee Deaths    .           124      276      331      311       11      307      383      344
TAB:  US_Wisconsin_Milwaukee Deaths    5/26/2020   125      277      331      311       11      279      373      329
TAB:  US_Wisconsin_Milwaukee Deaths    .           126      282      331      311       17      299      372      336
TAB:  US_Wisconsin_Milwaukee Deaths    5/28/2020   127      285      331      323       18      311      531      348
TAB:  US_Wisconsin_Milwaukee Deaths    .           128      294      331      372       15      323      605      385
TAB:  US_Wisconsin_Milwaukee Deaths    5/30/2020   129      299      331      397       13      323      702      409
TAB:  US_Wisconsin_Milwaukee Deaths    .           130      299      331      397       19      323      702      409
TAB:  US_Wisconsin_Milwaukee Deaths    6/1/2020    131      299      331      397       16      299      568      397
TAB:  US_Wisconsin_Milwaukee Deaths    .           132      309      331      336       12      336     1033      433
TAB:  US_Wisconsin_Milwaukee Deaths    6/3/2020    133      315      331      348       12      336     1790      446
TAB:  US_Wisconsin_Milwaukee Deaths    .           134      316      331      348       11      323     2353      470
TAB:  US_Wisconsin_Milwaukee Deaths    6/5/2020    135      317      331      348        9      323     1693      458
TAB:  US_Wisconsin_Milwaukee Deaths    .           136      325      331      360       12      360     1253      482
TAB:  US_Wisconsin_Milwaukee Deaths    6/7/2020    137      326      331      360       11      360     1228      482
TAB:  US_Wisconsin_Milwaukee Deaths    .           138      325      331      360       11      348     2169      482
TAB:  US_Wisconsin_Milwaukee Deaths    6/9/2020    139      331      331      360       10      360     2145      507
