TAB:  New_Zealand Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  New_Zealand Deaths    4/8/2020     77        1       22        0        0     1416     9640     2083
TAB:  New_Zealand Deaths    .            78        1       22        0        0     1361     9751     1916
TAB:  New_Zealand Deaths    4/10/2020    79        2       22        0        0     1416     9973     1916
TAB:  New_Zealand Deaths    .            80        4       22        0        0     1472     9862     2028
TAB:  New_Zealand Deaths    4/12/2020    81        4       22        0        0     1416     9584     1916
TAB:  New_Zealand Deaths    .            82        5       22        6        1        6       11       11
TAB:  New_Zealand Deaths    4/14/2020    83        9       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            84        9       22    -            1       70      118      118
TAB:  New_Zealand Deaths    4/16/2020    85        9       22       28        1       28       64       64
TAB:  New_Zealand Deaths    .            86       11       22       14        2       11       50       18
TAB:  New_Zealand Deaths    4/18/2020    87       11       22       11        2       10      108       16
TAB:  New_Zealand Deaths    .            88       12       22       13        4       11       66       15
TAB:  New_Zealand Deaths    4/20/2020    89       12       22       13        5       11      116       15
TAB:  New_Zealand Deaths    .            90       13       22       14        8       14       61       19
TAB:  New_Zealand Deaths    4/22/2020    91       14       22       14        3       14       91       20
TAB:  New_Zealand Deaths    .            92       17       22       26        1       26       53       35
TAB:  New_Zealand Deaths    4/24/2020    93       18       22       26        1       26       66       36
TAB:  New_Zealand Deaths    .            94       18       22       24        1       24       53       31
TAB:  New_Zealand Deaths    4/26/2020    95       19       22       27        2       19       47       28
TAB:  New_Zealand Deaths    .            96       19       22       19        3       19       88       27
TAB:  New_Zealand Deaths    4/28/2020    97       19       22       19        5       19       61       26
TAB:  New_Zealand Deaths    .            98       19       22       23        4       19       33       24
TAB:  New_Zealand Deaths    4/30/2020    99       19       22       21        5       18       27       24
TAB:  New_Zealand Deaths    .           100       20       22       20        6       19       27       23
TAB:  New_Zealand Deaths    5/2/2020    101       20       22       21       10       20       25       23
TAB:  New_Zealand Deaths    .           102       20       22       21       11       20       24       22
TAB:  New_Zealand Deaths    5/4/2020    103       20       22       20       13       20      133       22
TAB:  New_Zealand Deaths    .           104       21       22       22        5       22       27       23
TAB:  New_Zealand Deaths    5/6/2020    105       21       22       22       13       22      114       26
TAB:  New_Zealand Deaths    .           106       21       22       22       16       20       54       24
TAB:  New_Zealand Deaths    5/8/2020    107       21       22       20       14       20      155       26
TAB:  New_Zealand Deaths    .           108       21       22       20       20       20       54       25
TAB:  New_Zealand Deaths    5/10/2020   109       21       22       20       21       20       27       23
TAB:  New_Zealand Deaths    .           110       21       22       20       23       20       23       23
TAB:  New_Zealand Deaths    5/12/2020   111       21       22       20       16       20       23       22
TAB:  New_Zealand Deaths    .           112       21       22       20       12       20       22       22
TAB:  New_Zealand Deaths    5/14/2020   113       21       22       20       11       20       22       22
TAB:  New_Zealand Deaths    .           114       21       22       20       10       20       22       22
TAB:  New_Zealand Deaths    5/16/2020   115       21       22       20       10       20       20       20
TAB:  New_Zealand Deaths    .           116       21       22        0        0        0        0        0
TAB:  New_Zealand Deaths    5/18/2020   117       21       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .           118       21       22        0        0        0        0        0
TAB:  New_Zealand Deaths    5/20/2020   119       21       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .           120       21       22        0        0        0        0        0
TAB:  New_Zealand Deaths    5/22/2020   121       21       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .           122       21       22        0        0        0        0        0
TAB:  New_Zealand Deaths    5/24/2020   123       21       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .           124       21       22        0        0        0        0        0
TAB:  New_Zealand Deaths    5/26/2020   125       21       22        0        0     1528     1694     1694
TAB:  New_Zealand Deaths    .           126       22       22        0        0     1528     1528     1528
TAB:  New_Zealand Deaths    5/28/2020   127       22       22       24        1       24       24       24
TAB:  New_Zealand Deaths    .           128       22       22       23        1       23       56       56
TAB:  New_Zealand Deaths    5/30/2020   129       22       22    -            3       23      155      112
TAB:  New_Zealand Deaths    .           130       22       22    -            2       23      151      133
TAB:  New_Zealand Deaths    6/1/2020    131       22       22    -            3       23      150       31
TAB:  New_Zealand Deaths    .           132       22       22    -            6       22      154       27
TAB:  New_Zealand Deaths    6/3/2020    133       22       22       23        5       22      154       26
TAB:  New_Zealand Deaths    .           134       22       22       23        6       22      154       26
TAB:  New_Zealand Deaths    6/5/2020    135       22       22       23        7       22      150       24
TAB:  New_Zealand Deaths    .           136       22       22       23        6       22      145       23
TAB:  New_Zealand Deaths    6/7/2020    137       22       22       22        6       22      145       23
TAB:  New_Zealand Deaths    .           138       22       22       22        8       22      145       23
TAB:  New_Zealand Deaths    6/9/2020    139       22       22       22        8       22      145      137
