TAB:  US_Kentucky_Jefferson Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Kentucky_Jefferson Deaths    .            64        2      169        0        0       54      894      310
TAB:  US_Kentucky_Jefferson Deaths    3/27/2020    65        2      169        0        0       57      196       84
TAB:  US_Kentucky_Jefferson Deaths    .            66        3      169        0        0      648      912      843
TAB:  US_Kentucky_Jefferson Deaths    3/29/2020    67        3      169        3        2        3       28        9
TAB:  US_Kentucky_Jefferson Deaths    .            68        3      169        3        1        3       15        5
TAB:  US_Kentucky_Jefferson Deaths    3/31/2020    69        3      169        3        2        3        6        5
TAB:  US_Kentucky_Jefferson Deaths    .            70        7      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    4/2/2020     71        7      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            72       11      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    4/4/2020     73       11      169       15        1       15      115       28
TAB:  US_Kentucky_Jefferson Deaths    .            74       17      169       46        1       46      477       90
TAB:  US_Kentucky_Jefferson Deaths    4/6/2020     75       17      169       34        1       34      408       84
TAB:  US_Kentucky_Jefferson Deaths    .            76       22      169       53        2       40      390       96
TAB:  US_Kentucky_Jefferson Deaths    4/8/2020     77       22      169       34        3       34      452       53
TAB:  US_Kentucky_Jefferson Deaths    .            78       26      169       40        3       34      159       53
TAB:  US_Kentucky_Jefferson Deaths    4/10/2020    79       26      169       34        4       28      177       46
TAB:  US_Kentucky_Jefferson Deaths    .            80       26      169       28        5       28      377       53
TAB:  US_Kentucky_Jefferson Deaths    4/12/2020    81       26      169       28        7       28      296       53
TAB:  US_Kentucky_Jefferson Deaths    .            82       42      169      209        1      209      739      402
TAB:  US_Kentucky_Jefferson Deaths    4/14/2020    83       46      169      209        1      209      820      439
TAB:  US_Kentucky_Jefferson Deaths    .            84       46      169       46        2       46     1001      333
TAB:  US_Kentucky_Jefferson Deaths    4/16/2020    85       56      169       71        1       71     1014      290
TAB:  US_Kentucky_Jefferson Deaths    .            86       60      169       71        1       71      870      252
TAB:  US_Kentucky_Jefferson Deaths    4/18/2020    87       60      169       65        2       65     1014      221
TAB:  US_Kentucky_Jefferson Deaths    .            88       60      169       65        4       59     1051      258
TAB:  US_Kentucky_Jefferson Deaths    4/20/2020    89       67      169       78        4       78     1213      202
TAB:  US_Kentucky_Jefferson Deaths    .            90       70      169       84        3       78      764      171
TAB:  US_Kentucky_Jefferson Deaths    4/22/2020    91       76      169      177        3       90      570      165
TAB:  US_Kentucky_Jefferson Deaths    .            92       78      169       96        2       90      446      159
TAB:  US_Kentucky_Jefferson Deaths    4/24/2020    93       78      169      127        4       78      352      140
TAB:  US_Kentucky_Jefferson Deaths    .            94       81      169       91        2       83      244      122
TAB:  US_Kentucky_Jefferson Deaths    4/26/2020    95       81      169       82        3       82      209      116
TAB:  US_Kentucky_Jefferson Deaths    .            96       83      169       89        5       84      186      111
TAB:  US_Kentucky_Jefferson Deaths    4/28/2020    97       85      169       90       12       90      184      127
TAB:  US_Kentucky_Jefferson Deaths    .            98       90      169      109        7      102      171      134
TAB:  US_Kentucky_Jefferson Deaths    4/30/2020    99       91      169      109        9      102      159      127
TAB:  US_Kentucky_Jefferson Deaths    .           100       93      169      109       11      102      171      127
TAB:  US_Kentucky_Jefferson Deaths    5/2/2020    101       93      169      109       15       96      140      121
TAB:  US_Kentucky_Jefferson Deaths    .           102       95      169      109       15       96      134      115
TAB:  US_Kentucky_Jefferson Deaths    5/4/2020    103      101      169      115       11      115      365      134
TAB:  US_Kentucky_Jefferson Deaths    .           104      105      169      121       11      121      421      140
TAB:  US_Kentucky_Jefferson Deaths    5/6/2020    105      106      169      127       17      127      514      146
TAB:  US_Kentucky_Jefferson Deaths    .           106      107      169      127       17      109      408      146
TAB:  US_Kentucky_Jefferson Deaths    5/8/2020    107      108      169      127       18      109      421      159
TAB:  US_Kentucky_Jefferson Deaths    .           108      109      169      127       21      109      645      159
TAB:  US_Kentucky_Jefferson Deaths    5/10/2020   109      109      169      127       22      109      408      152
TAB:  US_Kentucky_Jefferson Deaths    .           110      112      169      126       18      118      196      136
TAB:  US_Kentucky_Jefferson Deaths    5/12/2020   111      115      169      128       10      128      188      141
TAB:  US_Kentucky_Jefferson Deaths    .           112      115      169      127       24      127      184      146
TAB:  US_Kentucky_Jefferson Deaths    5/14/2020   113      115      169      127       27      121      159      140
TAB:  US_Kentucky_Jefferson Deaths    .           114      116      169      127       28      115      146      134
TAB:  US_Kentucky_Jefferson Deaths    5/16/2020   115      117      169      128       18      117      137      128
TAB:  US_Kentucky_Jefferson Deaths    .           116      117      169      127       28      115      134      127
TAB:  US_Kentucky_Jefferson Deaths    5/18/2020   117      129      169        0        0     2177     3590     2766
TAB:  US_Kentucky_Jefferson Deaths    .           118      131      169        0        0     2059     4060     3001
TAB:  US_Kentucky_Jefferson Deaths    5/20/2020   119      137      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .           120      139      169      146        1      146      159      159
TAB:  US_Kentucky_Jefferson Deaths    5/22/2020   121      141      169      146        2      146      171      152
TAB:  US_Kentucky_Jefferson Deaths    .           122      141      169      146        3      140      165      146
TAB:  US_Kentucky_Jefferson Deaths    5/24/2020   123      141      169      146        3      140      159      146
TAB:  US_Kentucky_Jefferson Deaths    .           124      141      169      141        3      141      148      145
TAB:  US_Kentucky_Jefferson Deaths    5/26/2020   125      142      169      141        5      141      144      144
TAB:  US_Kentucky_Jefferson Deaths    .           126      144      169      145        2      145      147      147
TAB:  US_Kentucky_Jefferson Deaths    5/28/2020   127      145      169      146        6      146      171      171
TAB:  US_Kentucky_Jefferson Deaths    .           128      145      169      146        8      146      290      159
TAB:  US_Kentucky_Jefferson Deaths    5/30/2020   129      153      169      361        1      361      361      361
TAB:  US_Kentucky_Jefferson Deaths    .           130      153      169      190        1      190      343      311
TAB:  US_Kentucky_Jefferson Deaths    6/1/2020    131      156      169      246        2      171      383      308
TAB:  US_Kentucky_Jefferson Deaths    .           132      157      169      159        2      159      365      252
TAB:  US_Kentucky_Jefferson Deaths    6/3/2020    133      160      169      202        2      165      358      252
TAB:  US_Kentucky_Jefferson Deaths    .           134      163      169      265        2      177      421      271
TAB:  US_Kentucky_Jefferson Deaths    6/5/2020    135      167      169      390        3      209      564      315
TAB:  US_Kentucky_Jefferson Deaths    .           136      169      169      283        3      215      670      377
TAB:  US_Kentucky_Jefferson Deaths    6/7/2020    137      169      169      227        4      171      564      302
TAB:  US_Kentucky_Jefferson Deaths    .           138      169      169      365        3      171      452      290
TAB:  US_Kentucky_Jefferson Deaths    6/9/2020    139      169      169      221        3      171      390      277
